URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,4,0,1.0,0.02,35.6,40.45,30.42,35.6,72,178,2.39,1,7.67
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,12,7,0.26,0.05,28.71,35.82,25.81,28.71,144,402,2.32,7,7.11
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,11,3,0.57,0.05,18.19,30.24,19.37,18.19,88,291,2.15,1,6.91
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,11,0.35,0.08,51.75,56.52,43.31,51.75,234,414,2.78,4,8.15
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,9,3,0.5,0.03,12.94,36.2,19.66,12.94,164,453,2.35,2,6.93
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,4,0,1.0,0.02,35.6,40.45,30.42,35.6,72,178,2.39,1,7.67
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,12,7,0.26,0.05,28.71,35.82,25.81,28.71,144,402,2.32,7,7.11
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,11,3,0.57,0.05,18.19,30.24,19.37,18.19,88,291,2.15,1,6.91
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,11,0.35,0.08,51.75,56.52,43.31,51.75,234,414,2.78,4,8.15
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,57,21,0.46,0.07,20.87,53.07,29.58,20.87,587,1106,2.63,1,7.77
